InstructorStrength,InstructorRecommend,CommentsOnEffective
,"The clinical trials presentation was really rough. Hard to figure out how to apply it or what we should take from it and apply to clinical practice. Didnt seem to be particularly objective.",
,,
,,
"Really solid instructor. Seemed very in touch with our level of knowledge and explained things really well.",,
,"Incredibly frustrating session. Cut of peoples questions multiple times, and instead of constructively answering questions, belittled some of our classmates and refused to answer questions because we ""should have been taught that already."" Instead of wasting everyones time with a rant on what we should have learned about the session, he could have given a 30 second summary of the concept in question.",
"Really solid, engaging instructor",,
,"Flew through the slides and seemed to read off of them quite a bit. I suppose this could be expected since she inherited the slide set rather than creating it herself. Nevertheless, it didnt seem to be fruitful to have attended this session.",
,"Seemed like the electrophysiology of the heart could have been explained much more simply for a first pass. Although it is great to have a content expert, it seemed like it was akin to a professional cyclist teaching a kid to ride a bike.. Needed to build up skills first and keep things focused and basic. Seemed a bit all over the place and lacked clear objectives. For the future I would suggest a clearer outline and a greater adherence to relating each thing back to an important teaching point.",
,,
,,
"I really appreciated the down-to-earth, easy to explain explanations and analogies - it made everything SO much easier to learn and remember!",,
,,
"I appreciated how well the study guide correlated with the lecture.","Some of the comments during lecture were highly inappropriate, including this is self-directed learning. You guys need to learn some of this on your own. This is your life"" when a student asked a question about sodium channels (which was the same question Id had while reviewing the material over the weekend and had not been able to figure out on my own). We are here to learn, but we are also here to be taught. Comments like that destroy the learning environment and make me strongly regret my decision to attend this school.",
"FANTASTIC teacher, by FAR the best weve had all block!","Please, PLEASE teach more of our lectures. This block has been a miserable experience until this lecture - it was a breath of fresh air in terms of clear explanations combined with interesting and complex material.",
,,
,,"This block, overall, has been poorly taught and haphazardly constructed. There have been a few gems, specifically Dr. Grauer as well as Dr. Chein. If it werent for the extra EKG review, I would still be struggling to understand even the most basic EKG findings (which I still struggle with). The pharmacology lectures were contradictory, and there seemed to be no order to how the material was presented. Unlike previous years, we will not be covering the heart in detail ever again in a classroom setting. The fact that this information was not taught properly now jeopardizes our future board scores and professional licenses and leaves us wide open to kill our future patients with our ignorance."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"He disclosed his conflicts of interest.","He gave a very biased and inaccurate description of the indications and contraindications for statins that contradicted multiple other lectures.  I cant help but think that his conflicts of interest influences what he said in lecture, and I felt like I was at a drug rep presentation more than a medical school lecture.",
